Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,EndTime,DurationMs
981,2025-05-29 21:16:00,AggregatorHost.exe,,09/15/2099 04:51:33 +00:00,LocalSystem,S-1-5-18,,4,1029,2025-05-29 21:16:00,248915
982,2025-05-29 21:16:00,regsvr32.exe,,12/01/2006 20:31:31 +00:00,LocalSystem,S-1-5-18,,4,1030,2025-05-29 21:14:00,60001
983,2025-05-29 21:16:00,svchost.exe,[LocalServiceNoNetwork] [DPS],05/11/2028 16:56:05 +00:00,LocalService,S-1-5-19,,6,1031,2025-05-29 21:16:00,248915
984,2025-05-29 21:16:00,lsass.exe,,06/12/2101 14:14:50 +00:00,LocalSystem,S-1-5-18,,4,1032,2025-05-29 21:16:00,248915
985,2025-05-29 21:16:00,svchost.exe,[LocalServiceNoNetworkFirewall],05/11/2028 16:56:05 +00:00,LocalService,S-1-5-19,,6,1033,2025-05-29 21:16:00,248915
986,2025-05-29 21:16:00,Registry,,01/01/1970 00:00:00 +00:00,LocalSystem,S-1-5-18,,4,140,2025-05-29 21:16:00,248915
987,2025-05-29 21:16:00,svchost.exe,[osprivacy] [camsvc],05/11/2028 16:56:05 +00:00,LocalSystem,S-1-5-18,,4,1034,2025-05-29 21:15:00,188785
988,2025-05-29 21:16:00,WerFault.exe,,02/18/2040 08:00:06 +00:00,LocalSystem,S-1-5-18,,4,1035,2025-05-29 21:13:00,59990
989,2025-05-29 21:16:00,IsrDpc,,01/01/1970 00:00:00 +00:00,UnknownOrUserSid,,,2,75,2025-05-29 21:16:00,248915
990,2025-05-29 21:16:00,MicrosoftEdgeUpdate.exe,,07/22/2021 01:16:22 +00:00,LocalSystem,S-1-5-18,,4,1036,2025-05-29 21:16:00,248915
991,2025-05-29 21:16:00,windeploy.exe,,10/19/2030 09:22:25 +00:00,LocalSystem,S-1-5-18,,4,1037,2025-05-29 21:16:00,248915
992,2025-05-29 21:16:00,svchost.exe,[LocalService] [nsi],05/11/2028 16:56:05 +00:00,LocalService,S-1-5-19,,6,1038,2025-05-29 21:16:00,248915
993,2025-05-29 21:16:00,svchost.exe,[RPCSS],05/11/2028 16:56:05 +00:00,NetworkService,S-1-5-20,,24,1039,2025-05-29 21:16:00,248915
994,2025-05-29 21:16:00,csrss.exe,,10/20/2010 07:57:13 +00:00,LocalSystem,S-1-5-18,,4,1040,2025-05-29 21:16:00,248915
995,2025-05-29 21:16:00,svchost.exe,[LocalServiceNetworkRestricted],05/11/2028 16:56:05 +00:00,LocalService,S-1-5-19,,6,1041,2025-05-29 21:16:00,248915
996,2025-05-29 21:16:00,svchost.exe,[LocalSystemNetworkRestricted] [SysMain],05/11/2028 16:56:05 +00:00,LocalSystem,S-1-5-18,,4,1042,2025-05-29 21:16:00,248790
997,2025-05-29 21:16:00,fontdrvhost.exe,,06/15/2009 01:48:57 +00:00,UnknownOrUserSid,S-1-5-96-0-0,,16,1043,2025-05-29 21:14:00,128787
998,2025-05-29 21:16:00,dwm.exe,,12/29/2058 13:29:48 +00:00,UnknownOrUserSid,S-1-5-90-0-1,,10,1044,2025-05-29 21:16:00,248915
999,2025-05-29 21:16:00,IntelAudioService.exe,,06/21/2022 11:53:23 +00:00,LocalSystem,S-1-5-18,,4,1045,2025-05-29 21:16:00,248915
1000,2025-05-29 21:16:00,sppsvc.exe,,02/03/2022 10:55:13 +00:00,NetworkService,S-1-5-20,,24,1046,2025-05-29 21:14:00,128787
1001,2025-05-29 21:16:00,svchost.exe,[LocalServiceNetworkRestricted] [Dhcp],05/11/2028 16:56:05 +00:00,LocalService,S-1-5-19,,6,1047,2025-05-29 21:15:00,188910
1002,2025-05-29 21:16:00,Setup.exe,,04/08/1980 16:57:23 +00:00,LocalSystem,S-1-5-18,,4,1048,2025-05-29 21:15:00,188910
