No.,Time,Source,Destination,Protocol,Length,Info,HID Data
51,8.80861,1.12.1,host,USB,35,URB_INTERRUPT in,0000080000000000
52,8.933609,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
53,9.114634,1.12.1,host,USB,35,URB_INTERRUPT in,00000e0000000000
54,9.229625,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
55,9.32961,1.12.1,host,USB,35,URB_INTERRUPT in,0000160000000000
56,9.41561,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
57,10.938607,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
58,11.47061,1.12.1,host,USB,35,URB_INTERRUPT in,02001f0000000000
59,11.580607,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
60,11.830633,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
61,15.224603,1.12.1,host,USB,35,URB_INTERRUPT in,00000b0000000000
62,15.299636,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
63,15.509603,1.12.1,host,USB,35,URB_INTERRUPT in,0000040000000000
64,15.615602,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
65,15.775604,1.12.1,host,USB,35,URB_INTERRUPT in,0000060000000000
66,15.850604,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
67,15.955603,1.12.1,host,USB,35,URB_INTERRUPT in,00000e0000000000
68,16.026604,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
69,16.236603,1.12.1,host,USB,35,URB_INTERRUPT in,0000170000000000
70,16.301604,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
71,16.452603,1.12.1,host,USB,35,URB_INTERRUPT in,00000b0000000000
72,16.522603,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
73,16.677602,1.12.1,host,USB,35,URB_INTERRUPT in,0000080000000000
74,16.757602,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
75,16.863625,1.12.1,host,USB,35,URB_INTERRUPT in,0000050000000000
76,16.923602,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
77,17.118593,1.12.1,host,USB,35,URB_INTERRUPT in,0000120000000000
78,17.193629,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
79,17.339602,1.12.1,host,USB,35,URB_INTERRUPT in,00001b0000000000
80,17.394602,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
81,17.705601,1.12.1,host,USB,35,URB_INTERRUPT in,0000370000000000
82,17.785601,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
83,18.101599,1.12.1,host,USB,35,URB_INTERRUPT in,0000080000000000
84,18.196601,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
85,18.246627,1.12.1,host,USB,35,URB_INTERRUPT in,0000180000000000
86,18.316602,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
87,19.5496,1.12.1,host,USB,35,URB_INTERRUPT in,0000280000000000
88,19.639859,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
89,21.679599,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
90,22.356597,1.12.1,host,USB,35,URB_INTERRUPT in,0200170000000000
91,22.431597,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
92,22.536597,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
93,23.168598,1.12.1,host,USB,35,URB_INTERRUPT in,00000b0000000000
94,23.243597,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
95,23.849596,1.12.1,host,USB,35,URB_INTERRUPT in,00001e0000000000
96,23.920596,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
97,24.366594,1.12.1,host,USB,35,URB_INTERRUPT in,0000160000000000
98,24.471621,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
99,25.13362,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
100,25.609596,1.12.1,host,USB,35,URB_INTERRUPT in,0200060000000000
101,25.709621,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
102,25.769619,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
103,26.185593,1.12.1,host,USB,35,URB_INTERRUPT in,0000270000000000
104,26.275593,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
105,26.646619,1.12.1,host,USB,35,URB_INTERRUPT in,0000180000000000
106,26.711619,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
107,27.102591,1.12.1,host,USB,35,URB_INTERRUPT in,00000f0000000000
108,27.188592,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
109,27.403593,1.12.1,host,USB,35,URB_INTERRUPT in,0000070000000000
110,27.488592,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
111,27.929591,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
112,28.927591,1.12.1,host,USB,35,URB_INTERRUPT in,0200050000000000
113,29.02759,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
114,29.248609,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
115,30.53659,1.12.1,host,USB,35,URB_INTERRUPT in,0000200000000000
116,30.656591,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
117,30.957615,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
118,31.222589,1.12.1,host,USB,35,URB_INTERRUPT in,0200100000000000
119,31.318616,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
120,31.42359,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
121,31.633588,1.12.1,host,USB,35,URB_INTERRUPT in,00001c0000000000
122,31.698615,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
123,32.165587,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
124,32.530588,1.12.1,host,USB,35,URB_INTERRUPT in,0200150000000000
125,32.611589,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
126,32.701582,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
127,32.90162,1.12.1,host,USB,35,URB_INTERRUPT in,0000200000000000
128,32.987588,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
129,33.242587,1.12.1,host,USB,35,URB_INTERRUPT in,0000040000000000
130,33.332588,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
131,33.458587,1.12.1,host,USB,35,URB_INTERRUPT in,00000f0000000000
132,33.533587,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
133,33.688587,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
134,33.964586,1.12.1,host,USB,35,URB_INTERRUPT in,0200130000000000
135,34.044612,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
136,34.600586,1.12.1,host,USB,35,URB_INTERRUPT in,02001f0000000000
137,34.726585,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
138,35.122585,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
139,35.437585,1.12.1,host,USB,35,URB_INTERRUPT in,0000160000000000
140,35.498586,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
141,35.588585,1.12.1,host,USB,35,URB_INTERRUPT in,0000160000000000
142,35.653586,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
143,36.355585,1.12.1,host,USB,35,URB_INTERRUPT in,00001a0000000000
144,36.440611,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
145,36.665614,1.12.1,host,USB,35,URB_INTERRUPT in,0000270000000000
146,36.746584,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
147,36.981585,1.12.1,host,USB,35,URB_INTERRUPT in,0000150000000000
148,37.051583,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
149,37.182607,1.12.1,host,USB,35,URB_INTERRUPT in,0000070000000000
150,37.262584,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
151,40.540581,1.12.1,host,USB,35,URB_INTERRUPT in,0000280000000000
152,40.625582,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
153,48.274572,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
154,49.271573,1.12.1,host,USB,35,URB_INTERRUPT in,0200140000000000
155,49.406599,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
156,52.7046,1.12.1,host,USB,35,URB_INTERRUPT in,02000e0000000000
157,52.805596,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
158,53.160595,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
159,54.869566,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
160,55.005593,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
161,55.717566,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
162,56.363591,1.12.1,host,USB,35,URB_INTERRUPT in,02002d0000000000
163,56.488567,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
164,56.769566,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
165,60.368562,1.12.1,host,USB,35,URB_INTERRUPT in,00004f0000000000
166,60.483564,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
167,61.606561,1.12.1,host,USB,35,URB_INTERRUPT in,0000370000000000
168,61.686591,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
169,62.744586,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
170,62.894561,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
171,63.094559,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
172,63.225592,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
173,63.445585,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
174,63.57656,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
175,63.911585,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
176,64.017559,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
177,64.342586,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
178,66.693582,1.12.1,host,USB,35,URB_INTERRUPT in,02000b0000000000
179,66.763557,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
180,66.944555,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
181,68.818558,1.12.1,host,USB,35,URB_INTERRUPT in,00004f0000000000
182,68.923571,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
183,72.723549,1.12.1,host,USB,35,URB_INTERRUPT in,0000220000000000
184,72.798551,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
185,75.810549,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
186,75.915574,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
187,76.517547,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
188,76.647573,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
189,76.993548,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
190,78.286573,1.12.1,host,USB,35,URB_INTERRUPT in,02002f0000000000
191,78.361544,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
192,78.572547,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
193,83.043542,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
194,83.423567,1.12.1,host,USB,35,URB_INTERRUPT in,02002d0000000000
195,83.499542,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
196,83.704571,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
197,94.375533,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
198,94.450557,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
199,105.111522,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
200,105.622547,1.12.1,host,USB,35,URB_INTERRUPT in,02000c0000000000
201,105.702519,1.12.1,host,USB,35,URB_INTERRUPT in,0200000000000000
202,105.993521,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
203,110.679543,1.12.1,host,USB,35,URB_INTERRUPT in,00004f0000000000
204,110.785516,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
205,111.065515,1.12.1,host,USB,35,URB_INTERRUPT in,00004f0000000000
206,111.151517,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
207,113.256514,1.12.1,host,USB,35,URB_INTERRUPT in,0000060000000000
208,113.366516,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
209,113.561539,1.12.1,host,USB,35,URB_INTERRUPT in,00000e0000000000
210,113.642514,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
211,116.233513,1.12.1,host,USB,35,URB_INTERRUPT in,00004f0000000000
212,116.383512,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
213,118.132536,1.12.1,host,USB,35,URB_INTERRUPT in,0000340000000000
214,118.218511,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
215,118.799535,1.12.1,host,USB,35,URB_INTERRUPT in,00004f0000000000
216,118.924535,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
217,119.20551,1.12.1,host,USB,35,URB_INTERRUPT in,00004f0000000000
218,119.325535,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
219,121.656533,1.12.1,host,USB,35,URB_INTERRUPT in,0000050000000000
220,121.736507,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
221,122.207506,1.12.1,host,USB,35,URB_INTERRUPT in,0000270000000000
222,122.292506,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
223,124.35753,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
224,124.483503,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
225,124.86953,1.12.1,host,USB,35,URB_INTERRUPT in,0000500000000000
226,124.999504,1.12.1,host,USB,35,URB_INTERRUPT in,0000000000000000
