SourceFile,SourceFileSha1,Reason
C:\Users\asd\AppData\Local\Microsoft\OneDrive\logs\Personal\telemetry-dll-ramp-value.txt,C2C269DE535F0A93A2D29C6B85D14F935A5F997C,Deduped
C:\Users\A7md-NaS3eR\AppData\Local\Microsoft\OneDrive\settings\Personal\logUploaderSettings_temp.ini,C915B80851D5087FF5AF7860136AC92BC60025CF,Deduped
C:\Users\Alpha\AppData\Local\Microsoft\OneDrive\settings\PreSignInSettingsConfig.json,238E243FFC12D4E012FD020C9822703109B987F6,Deduped
C:\Users\Alpha\AppData\Local\Microsoft\OneDrive\settings\Personal\assertInformation.ini,34E8DBB457E6AD55B4A508C1729C8D5CDAC5F6B0,Deduped
C:\Users\Alpha\AppData\Local\Microsoft\OneDrive\settings\Personal\logUploaderSettings_temp.ini,CE1A1D2199041BE57F377DDD46F836A4CE36DEE7,Deduped
C:\Users\asd\AppData\Local\Microsoft\OneDrive\settings\PreSignInSettingsConfig.json,238E243FFC12D4E012FD020C9822703109B987F6,Deduped
C:\Users\asd\AppData\Local\Microsoft\OneDrive\settings\Personal\assertInformation.ini,34E8DBB457E6AD55B4A508C1729C8D5CDAC5F6B0,Deduped
C:\Users\asd\AppData\Local\Microsoft\OneDrive\settings\Personal\logUploaderSettings_temp.ini,904D5C598234E187D9AE3AED388850FFA3CCEAC7,Deduped
C:\Users\asd\AppData\Local\Microsoft\OneDrive\settings\Personal\SurveyManagerState.json,618CC7C9636E747700B0F681F03E8BA6FB1CAEDB,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-ModernDeployment-Diagnostics-Provider%4Admin.evtx,C70BFFF0A559AF8CB76AD80A504DD55BD6CC484D,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-ModernDeployment-Diagnostics-Provider%4Diagnostics.evtx,C70BFFF0A559AF8CB76AD80A504DD55BD6CC484D,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-MUI%4Admin.evtx,C70BFFF0A559AF8CB76AD80A504DD55BD6CC484D,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Provisioning-Diagnostics-Provider%4AutoPilot.evtx,C70BFFF0A559AF8CB76AD80A504DD55BD6CC484D,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Provisioning-Diagnostics-Provider%4ManagementService.evtx,C70BFFF0A559AF8CB76AD80A504DD55BD6CC484D,Deduped
