CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2025-06-12 01:38:10.5064926,G:\Windows\System32\winevt\logs\Application.evtx,D:\Sherlocks\New folder\G\Windows\System32\winevt\logs\Application.evtx,1118208,A88C023A6BF36DFEA0A99F9882766B0B5A709E58,False,2025-06-04 10:44:23.9125590,2025-06-07 06:24:26.1545767,2025-06-07 06:24:26.1545767,00:00:00.0177349
2025-06-12 01:38:10.5827319,G:\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4Operational.evtx,D:\Sherlocks\New folder\G\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4Operational.evtx,1118208,606FB6E9CD238CE9A6DF59FF9FDA067FE83A482C,False,2025-06-04 10:44:27.1936516,2025-06-07 06:29:39.8630630,2025-06-07 06:29:39.8630630,00:00:00.0170053
2025-06-12 01:38:10.5907276,G:\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4WHC.evtx,D:\Sherlocks\New folder\G\Windows\System32\winevt\Logs\Microsoft-Windows-Windows Defender%4WHC.evtx,69632,C70BFFF0A559AF8CB76AD80A504DD55BD6CC484D,False,2025-06-04 10:44:27.1936516,2025-06-04 10:46:31.6936493,2025-06-07 04:57:10.8681936,00:00:00.0039946
2025-06-12 01:38:10.6449753,G:\ProgramData\Microsoft\Windows Defender\Support\MPDetection-20250604-034426.log,D:\Sherlocks\New folder\G\ProgramData\Microsoft\Windows Defender\Support\MPDetection-20250604-034426.log,2128,F473A3D9C07E9E366B034198EA916988C0C83D5A,False,2025-06-04 10:44:26.0218318,2025-06-07 05:45:28.0186527,2025-06-07 05:45:28.0186527,00:00:00.0392548
2025-06-12 01:38:10.6799617,G:\ProgramData\Microsoft\Windows Defender\Support\MPDeviceControl-20250604-201642.log,D:\Sherlocks\New folder\G\ProgramData\Microsoft\Windows Defender\Support\MPDeviceControl-20250604-201642.log,10272,54D5F720A1CE7019F4B20B2A040F0DFAE8103C47,False,2025-06-04 20:16:42.0414018,2025-06-07 05:45:28.0186527,2025-06-07 05:45:28.0186527,00:00:00.0189914
2025-06-12 01:38:10.8864738,G:\ProgramData\Microsoft\Windows Defender\Support\MPLog-20250604-034426.log,D:\Sherlocks\New folder\G\ProgramData\Microsoft\Windows Defender\Support\MPLog-20250604-034426.log,1635712,08343F04720ABE04157E3F85E8A23DE4E3355BB7,False,2025-06-04 10:44:26.0218318,2025-06-07 05:47:27.8725662,2025-06-07 05:47:27.8725662,00:00:00.0635663
2025-06-12 01:38:10.9174595,G:\ProgramData\Microsoft\Windows Defender\Support\MPScanSkip-20250604-201642.log,D:\Sherlocks\New folder\G\ProgramData\Microsoft\Windows Defender\Support\MPScanSkip-20250604-201642.log,1540,5440958B2CE9A498D5A582488FC9CCEBC75EE9BD,False,2025-06-04 20:16:42.0414018,2025-06-05 03:07:37.7995176,2025-06-05 03:07:37.7995176,00:00:00.0179888
2025-06-12 01:38:10.9430260,G:\ProgramData\Microsoft\Windows Defender\Support\MpWppCoreTracing-20250607-072317-00000003-100000000.bin,D:\Sherlocks\New folder\G\ProgramData\Microsoft\Windows Defender\Support\MpWppCoreTracing-20250607-072317-00000003-100000000.bin,16384,EAF7C263ECDE505A822165B1023C717319D38ACE,False,2025-06-07 05:23:17.4201840,2025-06-07 05:28:20.6388751,2025-06-07 05:28:20.6388751,00:00:00.0129923
2025-06-12 01:38:11.0349969,G:\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20250607-052323-00000003-fffffffeffffffff.bin,D:\Sherlocks\New folder\G\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20250607-052323-00000003-fffffffeffffffff.bin,618496,2DA0492A5FB6220D0CB3DA1CD034CFE815967D9A,False,2025-06-07 05:23:23.5921050,2025-06-07 06:28:06.3536216,2025-06-07 06:28:06.3536216,00:00:00.0259938
2025-06-12 01:38:11.1538086,G:\Windows\Temp\MpCmdRun.log,D:\Sherlocks\New folder\G\Windows\Temp\MpCmdRun.log,64024,3C81677379009E30F2B1BFF80772E6333A6C25BA,False,2025-06-04 10:44:40.5998285,2025-06-07 05:59:34.0083075,2025-06-07 05:59:34.0083075,00:00:00.0298529
